501-96-9838,SOMZWCG12A8C13C480
917-66-5033,SOYJTYX12A8C13C5A2
279-89-1984,SOKTKTM12AB0189837
972-45-2952,SOHMYGA12AB017F997
302-25-7849,SOREZNH12A8C1300AB
111-89-5402,SOOGKOY12B34F33114
894-60-1238,SOYVAAQ12A6D4F8026
484-25-0728,SOBEYJM12AB0189C98
399-80-3002,SOKZCJZ12A8C13972F
961-94-5168,SOCCXXA12A58A762B2
697-17-9754,SOMXCXZ12A58A7B343
863-32-0636,SONCMAJ12AB017A938
444-62-3008,SOQHIVV12A6D4FB2BE
571-67-2046,SOAOTOX12A58A7C308
522-89-4820,SOMBWDW12A6D4F7248
645-87-0940,SOVFCKE12A8C141CF4
502-65-6787,SOWGAUD12A58A76907
784-70-5646,SOMMAVY12A8C1327AF
231-55-2697,SOLGASB12A58A79460
752-55-7345,SOYJKEB12A8C138723
229-10-4528,SOGZIDZ12AB017F90F
401-71-6531,SOZEIRC12AB018A634
746-69-9425,SOBMHDZ12A58A79364
198-09-1159,SOGQXFS12A8C138FA1
632-87-1158,SOEFTHD12A8C13EC47
312-33-3828,SOMCMRN12AC3DF400A
246-81-7468,SOXIBUG12AB018914B
508-93-5287,SOCGBIR12A6D4F601E
668-03-3868,SOPEYTA12A8C1352AB
103-94-1993,SOMJNVK12A6D4FC4B2
773-58-3706,SOFFFRA12A81C2059A
410-79-8325,SODOKPF12AB01817F4
698-59-2567,SOSZOXP12A6D4FB9A9
680-03-6507,SONRBMW12AB017E52D
675-13-1666,SOGELYI12AB01886B1
244-06-2810,SOXZNEF12A8C137AD7
822-98-8443,SOHECOV12AB018D6A2
904-62-9718,SOKMSOY12AB018AF1F
681-96-0236,SONUXWL12AB0188E85
201-75-2694,SOOVAZY12A6D4F8CFC
923-90-9835,SOMQTWO12AB0183211
178-84-9117,SOPWTLC12AB0184E34
601-18-2619,SOKXISM12A8C14335E
905-48-1528,SONURCP12A58A784D6
891-93-8549,SOJHUPK12A6D4F69DC
311-24-5760,SOYVWTC12A8C135865
908-42-5420,SOMAFMA12AB0182DB4
670-39-7350,SOIMJSO12AB0182125
513-52-5592,SOADZHL12A8C13CE75
621-34-8778,SOJGVAK12A8AE46A93
198-78-0448,SOZZWBA12A8C13F403
105-35-5354,SOWLAHO12A6701E3D1
262-99-0889,SOBDFTE12AB017ECA9
452-14-4191,SOKRRKZ12AB0182EF8
314-54-1761,SOJMTNS12AB017DA66
979-14-8098,SOTEZMZ12A8C138355
990-01-8062,SOXOMUO12AF72AA7D1
692-00-3911,SOXHAHK12A6D4FBEBA
589-77-9808,SOSGLIB12A6D4FB68D
379-54-0014,SOPQNUE12A8C13DB5A
628-60-9138,SORGAWM12A8C135D4C
302-56-3620,SOPRQKQ12A6D4F82CE
374-03-0953,SOFXOIF12AB0182415
912-36-5666,SOZWBQS12A8C13701C
984-29-1893,SOZCDMD12AAF3B2185
436-78-3766,SOZWTCR12A58A7BA31
305-36-2714,SOJIIDB12AB017BC10
605-31-2899,SOPAKUZ12A8C13F02B
193-52-5968,SOFBLKT12AB018A5E3
394-20-4376,SOZTOSX12AC468AD34
712-02-0782,SOIMZSM12AB0188CB8
943-74-0103,SOHLATT12AC3DF4D4B
508-11-9320,SOVOBYK12A67ADD753
481-38-7539,SOEMFLG12CF530D4F6
370-48-2595,SOKCUMS12AB018D4A0
564-08-1222,SORKKTY12A8C132F3E
768-01-5814,SOHMWJD12A6D4FAB76
847-86-1814,SOQLWQU12A8C13C87E
494-21-7823,SOVRVBI12A8C13AA09
589-40-9166,SOPHJIS12AC3DF5FA3
653-80-9325,SOSAFCZ12AAFF41CD4
968-75-5030,SOAEUQV12AB01813F8
452-43-5810,SOWENLZ12AB017F81F
894-13-8350,SOTWWLY12A6D4FAF77
340-95-5664,SOZSSCO12AF72A554D
696-39-7645,SOHOZCG12A8C13EB23
210-27-8067,SOHPTTD12A6D4F6FE6
398-07-9439,SOUQYAU12AB0181058
276-09-7308,SOQJGUH12AB018410B
733-73-5182,SOTSVBB12AC3DF9F77
358-26-0052,SOLCFZV12A8C131BB7
944-72-4648,SOFLHNX12A8AE4630C
199-71-4440,SOAKFDN12AB018A37A
310-07-9339,SOZFJLR12A6D4FB512
736-11-9328,SOSHFFL12A8C13438E
511-40-9931,SOMUQUB12A8C132AD9
242-92-7938,SOEAYQZ12AB0186BB1
356-28-4841,SOBGXEU12A8AE45903
733-75-7770,SOATZSD12A8C134212
987-98-0357,SOHUDTL12AAFF43497
796-36-3341,SOGZANN12AB018736A
499-70-1528,SOVDTAP12A8C13FE3D
658-97-1383,SOPYZWR12AB0187A36
757-27-8559,SOJBCMD12A6D4F68B5
916-92-5540,SOCUSNQ12A8C138A86
186-94-0753,SOABPYH12A8C13CC48
841-44-7777,SOVTAOG12AB018B126
686-95-2772,SORWXCN12AB01811BC
332-85-7651,SOVAZZK12AB018935A
783-82-3643,SOJXYUF12AB0188969
707-34-5864,SODWYJL12A58A7BCE4
434-87-9385,SOQMFPS12A6D4F76D7
404-53-5371,SONMMMW12AB017DACF
726-59-6769,SOZOTQZ12AB0187D9A
794-59-2753,SOFBRDB12AB017F2C2
832-31-3306,SOPESRK12A6D4F8B92
499-19-3658,SORIYMI12AB0185013
436-97-8728,SOHIWMN12A8C1315B6
813-39-1053,SOVXGLT12A6D4F952C
636-03-2709,SODPMBU12A58A7B076
534-71-8443,SONCUSG12A6D4F9316
293-41-8275,SOWMUWV12A8C132F2B
889-31-3663,SOQCSHQ12AB0182F0F
336-95-9356,SOQORHS12A8C13B8BD
956-39-5784,SOUESGM12A8C136D78
875-95-5176,SOZBDWA12A6D4F7777
943-82-8399,SOEGCMJ12A58A7B0E6
223-16-2906,SOFMTWO12AB0183C58
586-80-3093,SORBDNB12AAF3B1B4E
308-75-3696,SOLJVRY12AB018B60C
485-91-8768,SOIAJRZ12A8C136212
962-93-0283,SOTKPYP12A8AE46BBE
796-87-0963,SOWVIKJ12A8C13CE3C
486-16-3830,SOJAXBV12AB018263D
190-30-8171,SOQDEXL12A6D4F7004
636-41-1526,SOOVGLE12AB0189FE6
917-96-9590,SOTQWRG12AB0188A9E
901-26-0840,SOFYIZF12A81C1FF4E
995-64-4524,SOWZBDU12A8AE48A29
901-96-7806,SORBLTE12A8AE47D0F
596-78-8787,SOMARVB12A6D4FAE82
862-85-1760,SOHDWYM12A8151AF55
869-34-7440,SOTZSWX12A8C13BF03
354-65-5277,SOYETRS12AB018A8F2
368-20-8705,SOVAPNH12A8AE46E05
976-66-0438,SOHKJEN12A81C23935
512-51-7709,SOQDFVR12A8C13A3EF
619-46-3165,SOQQHZK12A8C144617
996-40-7221,SOXGTSO12A6D4F8FC4
400-60-6039,SOSFOAG12AB018C8A0
150-72-7155,SOWFICG12AB0181787
697-97-7565,SOGPDBF12A6D4F7FAB
318-03-3041,SOAIJKC12A8C131D6F
874-74-4869,SOWMJNZ12AB017E8CD
732-68-5416,SOBGPTR12A6BD548CD
722-64-2134,SOJQLZR12AB018909F
490-64-2343,SOYJFCZ12A8C137848
263-09-0372,SONBHYT12AC468A58B
391-13-7340,SOEFBNV12A8C13DF70
220-85-0790,SOGJJMI12A8C133442
771-31-8624,SOUPBKQ12AC4689EB8
650-59-0723,SOKLUBB12AB0182FDA
709-05-9342,SONCEJF12AB018581C
685-92-5618,SOQFNLE12A6701F952
480-14-0521,SOVWTMN12A6D4F8ACF
534-67-0422,SOVKFKF12A8C14348A
923-58-9793,SOEQXWO12AB017D68B
504-62-3182,SOWDZZQ12A670215BD
640-93-9189,SOCICGI12AB018AB36
746-63-5867,SOXSNIW12AB018681A
511-57-9430,SOFDNHE12AB0181EF1
684-71-7422,SOQEDJS12A8C132F42
956-29-6541,SOTLRMZ12A58A7DED5
909-91-2364,SOKZFPW12A67FFB3C6
356-06-5882,SOQHAQM12A58A7A25B
693-58-7464,SOVQSBI12AB017F0E5
121-20-8777,SOQHYAX12CF530D50C
722-48-5194,SOCVOFW12A6D227200
220-51-7940,SOIAZPH12A8C135BA6
191-75-5979,SOCOLNA12A8C131D81
364-35-5848,SONBIEL12AB018234B
751-45-3790,SOBADNN12AAF3B1F5D
856-36-8416,SOSBLBE12AC3DFB104
873-76-6660,SOKASNE12A6D4F850B
843-70-7183,SOHOOXT12A67ADA073
243-07-8851,SOHRHJZ12A8C13A6DC
795-88-1577,SOLEETR12AB018A09C
448-83-2235,SOMRDBW12A6D4F9F07
378-28-2795,SOJSXXC12A8AE47C35
973-18-4466,SOWSLLQ12A8C13B3A6
257-80-9524,SOJOBVT12A6701E062
895-40-8170,SOQTYFH12A6D4F932E
911-09-3215,SOQXZYK12AB018668A
973-54-7204,SOLVEAC12AAF3B2DC2
938-79-4170,SOYYBVG12AB018B563
725-26-8535,SOSEPUJ12A8AE44C5F
105-34-6919,SOCKFQR12AB0182EB6
125-92-4991,SOREJVE12A58A7AD36
518-38-7604,SOYGZXS12A8C13D614
171-99-1394,SOKOFFJ12AB018F6A1
437-14-1107,SOUVKXW12A8C1427AC
396-31-8075,SONUJOP12AB018E6C9
811-96-2094,SOENIVE12AB0187ACE
948-17-0621,SOFRPPE12A6D4FAB3E
801-28-2273,SOGJVNZ12AB0185170
531-60-2081,SOCLCWX12A8C133EC0
516-14-4399,SOHEGVA12A8C13D81C
457-68-9902,SOIVCUR12AB018E3A2
227-81-3733,SOUATZO12AAF3B23A7
872-63-5906,SOOCZVQ12A8C13C7CE
619-33-4947,SOSKOHU12AB0184001
916-07-6927,SOKLPTD12AC4688044
171-88-6895,SOPLOFR12AB01819B3
326-97-3379,SOCNFBN12AF72A23AA
268-63-9210,SOFLOGZ12A8C13C69F
874-70-7892,SOCSXBH12A58A78109
364-71-9096,SOXCEGC12AB018A0BD
254-69-4223,SOVMWTZ12A8C136E39
469-27-8930,SOPWMAU12AB017A832
439-15-6642,SOVLTPF12AC46866D7
972-37-3452,SOUDAHM12A58A7B19A
272-05-2395,SOYTXMF12AB0179B2C
474-49-2489,SOANXGF12A8C143736
831-64-6168,SORVORU12AB0183685
796-99-7777,SOBIJGQ12A8C131C8F
983-68-0947,SOLSRIT12A58A79324
744-16-9541,SOYNBBT12A8AE46457
589-30-2543,SOIOWYG12AB018751B
381-30-2215,SOGQPOB12AB0183756
618-99-8259,SOCMXGV12A6D4F855E
220-95-8436,SOPPIJK12A8C13EAC5
132-92-4088,SOYGIBP12A67020AF7
467-84-3609,SOKJCDI12A81C22EB0
461-77-6090,SOTAEIP12A6D4F76A5
493-83-5180,SOJDIAU12AB018236E
345-96-3803,SOYQZID12A8AE48BDA
277-86-6315,SOCYCRH12A6D4FD333
259-22-9674,SOTENDL12A8C134BD1
464-68-7363,SOJRUHL12A813557F6
302-00-3840,SOKYUHC12A58A79AD3
672-78-2963,SORCHVC12A6D4F7651
773-52-3459,SOCRBAD12AB0186467
370-60-4710,SOSFYFN12AB017AB81
876-93-6789,SOQVLPI12AB017F740
599-71-3848,SOCWFQT12AB0188AA1
190-03-9495,SOAWDUO12AB0182450
632-82-1046,SOYVXRJ12AB017CDD6
359-44-1413,SOFKWBH12A6D4F584E
881-20-1484,SOQDBNE12AB01852A7
893-23-8309,SOCJQVA12A8C1388DD
289-52-7548,SOWVZIQ12A8C1433C9
836-33-8768,SOGEGWE12A8C13E6F0
372-19-3161,SOXMCZC12A8C13402A
761-85-9267,SOOEQOD12AB018D7D3
959-13-7736,SOMPBTH12A8AE48A8B
923-37-6870,SOAKZHG12A8AE47669
104-61-9168,SOQFVIO12AB018BA75
681-92-8837,SOFVXQF12A6D4F82F2
427-44-9859,SOUNPTA12AB0183132
896-78-0417,SOMUJKH12AB01842E2
469-81-7732,SOZHDIA12A58A80F93
956-02-9350,SOJMLXA12A8C12FB20
839-83-8646,SOUFLXO12A6701DD54
205-19-8258,SOGNDRY12AC9075738
954-51-2124,SOODPLC12AB0182FDE
240-07-5495,SOTJEIC12A8C139054
858-70-9352,SOJGPVN12A8C136BCF
599-85-3402,SOMWQZF12A8C13C27E
416-99-2718,SONJBDA12AB0183CFD
131-58-0030,SOXYLNP12A58A77347
770-58-6045,SOPMACA12AB018B52A
515-79-5154,SOYPQHV12A67ADF698
203-67-6257,SOSNIRJ12A6D4FA0BD
869-72-9555,SOVYKHK12AC3DF4D3A
646-94-7810,SODYLAQ12AB0181CDC
434-08-1972,SOAXKSW12A8C13E7FA
303-41-3929,SOSNQCC12AB0185B62
985-21-2692,SOLIXBU12AB018C389
656-61-1304,SOBYHTZ12A8C13363C
570-29-6823,SOIJQYA12A8C1375EF
668-96-9011,SOZOIKO12A8C133726
310-77-2305,SOAFZRZ12A58A7AF39
705-72-4551,SOQGFVA12A8C13AE87
912-76-2093,SOIVRUS12A8C133164
847-65-9122,SOBXGEP12AB018E2CA
790-41-0163,SOSDZUS12A8C13AE10
329-79-8279,SOYCYFG12A81C22BA1
812-93-4407,SOOSJQN12AB017E4CF
355-31-1225,SOEIJKO12AB0181BE2
698-91-7101,SOSCHDW12A8C130FD7
350-64-4286,SORSJPQ12A8C13875A
602-83-0841,SOJMXXW12A6D4F9DB3
392-72-4150,SOJDXYE12A8C132D5B
223-12-9272,SOTNYEO12A6D4F98C3
476-59-3877,SOOPAKJ12AB018AE9F
641-40-0154,SOASRYN12A8C139FA4
974-02-1233,SOVSKKV12AB018AB65
247-25-0313,SOUROPB12A6D4FAC51
833-29-7782,SODHPGT12A6D4F781D
295-71-8042,SOVKUWM12AC9097662
644-02-6604,SOCXOGU12A8C1327B3
262-61-3370,SOTMIYY12AAA15FAF8
874-84-7564,SOQPENF12A8C13D7D8
569-40-8535,SOUDJJH12A8AE4729A
455-28-4717,SOOYXSC12A8AE47FDF
812-62-0403,SOJEOUG12AB018A5D5
364-96-3219,SOQOHSQ12A6D4F80D5
802-58-7743,SORUKWD12AB018C0CE
431-99-1055,SOEOYVV12AB018E429
518-61-7934,SOGRKPG12A58A7ADF7
326-93-2394,SOUVSFU12A8C139963
510-88-5132,SODTEEH12A8C133B01
361-53-9989,SOVAIXB12A8C132657
609-96-5139,SOKSUYL12A6D4F8B74
221-05-3470,SOCGAOT12A8C138D1C
944-93-1343,SOWBVJL12A8AE4720C
353-13-7905,SOFTSMC12AB017C6BD
935-79-5706,SOMSXGC12A6D4F962D
959-86-0649,SOEFQLO12A8C1362CE
932-15-3805,SOGKRNP12A81C20860
808-95-5871,SOEIYJP12A8C143639
603-74-2316,SOKTRGB12CF533CFBD
482-05-8662,SOEVJRN12A8C135403
622-03-9896,SOAVMSM12AB017CC5C
726-15-3575,SOYFZYP12A8C1367D5
630-10-8328,SOJZZVE12A58A7999D
801-33-9888,SOLPWYZ12A8C1335B0
821-26-4866,SOEWHWK12A8C14264E
897-24-4114,SOITKDW12A8C13BA44
687-65-6209,SOHMZNL12A58A8001A
342-12-7335,SOHLICT12A8C13C8C7
343-77-2971,SOXODEF12A8C13B056
521-50-2289,SOMEKAE12AB0181461
249-77-8373,SOQYWPI12AB017DA10
773-40-2623,SOBSEXG12AB0180DD4
280-79-5149,SOXLNHY12AC4688B63
154-31-1259,SOYDTFR12AB017CADA
704-03-6366,SOLKCPC12AB018297F
142-05-0653,SOTCYJJ12A8AE48915
814-46-3655,SOCCWHX12A8C135B2B
191-69-6225,SOMCLCK12A8C13B918
480-38-7374,SOWSEKT12AB0187166
486-98-9205,SOIDEVL12A8C135667
893-62-5008,SOXVRIV12AC468E055
565-00-7662,SOCYTYU12A8C13EA94
476-99-2608,SOQYYZH12A6701DB2C
416-87-9143,SOBPTJJ12A8C1347B4
698-27-0640,SOEGBQC12AB0182B45
608-69-5597,SOQQWKC12A8C1449FB
572-27-8495,SOPVFIS12AB01815BD
823-99-9193,SOBVEMI12A8C1403BE
702-13-6039,SOHDWVO12A8C13E740
858-17-4131,SOINJHA12A8C134C60
760-09-2861,SOQNNUY12A58A7CCEB
579-24-3424,SONUMYT12A8AE47DEE
969-76-4382,SOMSKEY12AC468E52C
982-38-0609,SOKOMCI12A8C13D445
124-65-7142,SODTYAJ12A8C137FDC
900-23-7831,SOMOMXN12AB018AB6B
866-36-1341,SOMHXPQ12A81C22892
588-24-5712,SODYZLC12A6D4F7BD3
524-26-4636,SOJEJNX12A8AE49441
306-49-6450,SOJYPGP12AC960DE2A
935-09-4195,SOUTSFS12AB018A18A
509-83-7707,SOJHXCE12A8C139B1E
830-81-4305,SOGYXBI12AB0188309
775-02-7527,SOGVLDM12AB017F0A2
982-42-8741,SOTWISY12A8C1431B6
147-00-6666,SOBEZJB12A6D4FBA4A
353-82-1218,SOAXZLM12A6D4F7A95
641-54-2895,SOXBRRT12A6D4FADBE
776-33-5966,SOCLFNX12A8C144A03
169-91-7596,SOYZFQG12AB0180D6F
988-52-8118,SOWKNGW12A6D4F78BD
755-84-4257,SOUEIEK12AAF3B50EE
510-60-0922,SOWKPHR12A6D4FAC63
880-15-8518,SONAEER12A67020459
676-65-8314,SOUSWBE12A679AE573
257-41-7727,SOUIJEE12A81C21173
235-44-0965,SOGXKOP12A58A7FA1C
746-37-9348,SOHUJGR12AB01806C8
904-70-5259,SOBYGMR12A8C136231
176-01-2267,SOPIBKO12AB0183ECD
411-55-8727,SOSUDUZ12AB017D1A1
320-40-9426,SOLCIRZ12AB0182DA4
802-29-7832,SOFNOOH12A8C13FD69
894-70-2930,SOPNPLN12AC3DFA507
782-25-4134,SOFHDYS12AB0184708
416-67-7548,SOZFVSE12A8C13C1C7
995-27-4889,SOJFWTK12A813565DC
930-77-2787,SOOBSJA12AAA8C7724
566-98-0203,SONBXKE12A81C209B1
577-97-3806,SOQKZSN12A58A7BB72
484-51-1663,SOIJEWM12A67ADA08D
881-57-8561,SOUAGDY12A6D4F63CF
902-62-4924,SOXNSSY12A6D4F9728
226-26-0810,SOHZWRJ12A8C14081B
250-26-7473,SOOACXX12AB017C8E6
519-88-6076,SOLGYJO12A6BD55664
790-70-8393,SOUHWTC12AAF3B419A
506-64-8876,SOMNYHU12A8C142FB5
302-09-0042,SOPGMLA12A6D4F4BDF
966-47-0591,SOUHUYT12A67021546
563-97-5376,SOJQOCV12AB0183CEA
836-57-1420,SOSLDUO12A8C13F7E0
140-86-2670,SOESXET12A8C13DFA0
628-07-3857,SONRFCO12AC3DF6AFB
527-99-8726,SOXVEFH12AB0187A2C
816-85-8522,SOHCAJI12AB017EF9A
845-79-4498,SOXCDGN12A8C140A48
539-67-8591,SOJLKPC12A8C13A3A7
703-90-0302,SOJDHGS12A6310D85E
427-15-7602,SOQJDZH12A67AE0CBF
159-56-3732,SOPNKLV12AB018B51E
924-80-5970,SOQZLAF12A8AE48030
913-44-7143,SOQHUQW12AB0189F4A
816-20-1340,SOEGFSO12AB01846B9
763-55-7118,SOSCFFU12A8C134C67
439-44-2642,SOADTWR12A8C136DB5
863-09-8854,SOHESPW12AB0184D99
528-74-9885,SORSVFU12A6D4FA6DD
514-91-1323,SOROHXN12AB018704F
767-50-7005,SOHTPZM12A6D4F8716
392-14-3757,SOCNJIB12A58A7899B
270-27-1124,SOWHBYK12A6D4F7925
387-80-8345,SOLMOSX12AB01878CE
264-66-7105,SOOIETN12A8C13E1AD
951-08-0931,SOTQMEG12A58A7B8BC
429-66-9119,SOKHOUY12A8C1358E0
997-04-8005,SOAKDOC12A8C13B1A9
857-92-0915,SOXXWIL12AB0182D64
670-80-4730,SORJNBB12A8C14156E
186-61-8515,SOWJXCF12A8C13608D
486-54-6030,SOIZXEV12A8C13086A
262-56-4080,SOYQLYM12AB018C099
812-93-4772,SOBIZOU12AF729E8CA
926-04-5626,SOXMPLR12A8C134ED0
799-33-9090,SOPFUID12AB018A8F9
208-42-6391,SOKSSEC12AF72A3D89
965-00-4591,SOBOCZJ12A8C13F619
334-70-6051,SOSAUKQ12A8C13CEED
998-77-8632,SOGVORW12A8C13C6E5
393-55-4143,SOSBYVZ12A6D4FBBF2
606-42-6966,SODUMDU12AC468A22B
558-84-8184,SOKMICL12AC46894B9
469-24-7313,SOOJNDD12A6D4F99E5
306-58-5343,SOHYOKJ12AB018B902
242-05-5592,SOBZGTU12AC3DFB6E8
212-67-8517,SOBTGBJ12A8C1393AB
388-41-3488,SODDTOV12A6D4F9167
169-53-6361,SOWSNEN12A8AE479B6
896-68-5317,SOANMOG12A8C13CDFA
933-91-4966,SOSHOMP12A8C144BB1
268-35-8287,SOQANLU12A8C142FEF
626-55-3476,SOLIQUE12A58A78306
912-56-7928,SOXEYLY12A8AE45DBD
745-55-8154,SOUBCNK12AB017CA1C
988-56-2431,SOKTNOK12A8C1340BA
171-36-9290,SOILEMF12CF530E512
295-46-7117,SOHDIVC12A6D4F8DA7
653-56-6759,SOJJAKJ12A6D4F951B
908-40-2516,SOXIQTE12AC468D65F
611-55-9332,SODWQBY12A8C13CAF3
604-81-9804,SOOLNAT12AB0185FE3
777-55-6779,SOIRBSI12A58A7A859
144-98-8621,SOVEBOC12CF530D548
446-87-3148,SOSORMU12AAA15E6F2
803-42-2068,SOPLZYS12A8AE48DE6
702-82-2399,SOJMZOQ12AB017ECA5
790-68-9595,SOPGPJM12AB0186FFA
278-87-8154,SOALLVR12A8C138417
206-18-2062,SOLIZTL12A8C13A809
417-16-6906,SOLNCHC12A6D4FA7AD
817-06-5686,SOPXTAX12A6D4F573B
419-15-2112,SOBWLUW12AC468F17D
288-50-6390,SOWIXZS12A58A7AB35
324-73-7624,SOYWICF12A8C13BDD7
238-88-4019,SOUZSKM12A6D4FBFD2
764-45-6890,SOXCVHC12AAFF429D7
175-95-0243,SOIBTMP12AF729FC8F
589-65-6550,SOYJPUH12AF72AB2C8
236-89-5765,SOJHLKF12A8AE47D4C
743-44-0523,SOMEWJW12A8C13F04F
336-49-0248,SOGACHN12AB0187ACA
216-98-3933,SOEYVKP12AB017B847
567-58-8375,SOHKZZU12A8C1327EC
848-65-6329,SOCRJDM12A8C139311
735-28-2847,SOGHWUG12A6D4FB3D3
777-42-9482,SOXIWIH12AB018000D
653-85-1989,SOBFRTX12AB018DE14
355-03-8298,SOWRNJI12AB018C5C6
211-04-0188,SOAWDUW12AB0183A26
837-06-1692,SORMLXW12A58A76039
979-81-2605,SOKZLSY12A8C1320E1
655-37-2342,SOITORD12A6D4F79D3
475-12-0013,SOMKTMJ12AB0189ACF
229-34-1464,SOJAWYZ12A67ADE3EC
654-11-7897,SOSOMWG12CF530D54E
676-00-4043,SOISIPQ12AB018C2AE
359-17-6871,SONWZEA12A6D4F9724
760-48-8305,SOUXGBA12A8C14002E
747-63-0372,SOAGXBV12A6D4F70BD
254-35-9473,SOHRBUD12A8C13A769
825-07-0623,SOGLABR12A6D4F9585
576-47-9235,SOJUIEW12AC468957F
886-27-4263,SOPGSMM12A8C139BF7
902-76-0627,SOWNJYB12AB017D17B
357-68-4175,SOBSOLH12A58A7E673
109-88-8228,SOUIWLO12AB017CBC2
963-29-9472,SOJYNQE12AB0186EAB
689-25-1882,SODSOLK12AB018BB66
821-63-7667,SOXKTIB12A8C14474A
766-66-7285,SOOWXMG12A8C13D0A7
952-91-2832,SOENUXD12A8C139297
184-71-0652,SOQMIMZ12AB018B499
916-45-8028,SOAYZDX12A8C13B9C1
948-06-6290,SOPAWDU12A58A7CD4D
355-75-0609,SODBFVM12AB0184A53
348-13-6464,SOCJHME12A6D4F9867
433-73-4426,SOKAGKK12A58A7FE14
448-42-6562,SOFKJOV12A81C21C38
575-59-7303,SOASBOZ12AB018DC23
703-19-7851,SOJTBGX12A6D4FBA6F
340-45-3354,SOFNXUH12A8C13F06B
702-42-8108,SOTVHNP12A8C1376BF
986-41-7116,SONJMCI12AB018B16A
677-29-1061,SOJBGIS12AB017E349
165-73-0937,SOZNZMJ12A8AE492E6
819-85-6087,SOGALHA12A6D4FD8C3
990-03-2814,SODDXCD12A8C1339AB
152-99-4873,SOATRKY12AB017FBC7
927-36-4691,SORPBRR12A8C13979C
812-22-2823,SOWFTVP12AB0189B74
122-38-2495,SONISVG12A8C13EB34
467-70-7643,SORIXFW12A58A77E7A
960-22-7776,SOIJROX12AB0186787
929-52-4803,SOPYBNE12A8C1435C1
391-08-5568,SOQAJMX12A8C131F1D
895-60-6719,SOCOPFT12AB017FC06
944-27-0189,SOYACST12AB0182EDE
357-25-8059,SOQLLHX12AF72A3586
867-28-3025,SOFQHNI12AB018345A
813-51-3756,SOHAJBB12A8C145F43
661-02-6292,SOIXWTG12AB01875CC
698-03-4687,SOKDGEX12A6D4F6537
460-59-8184,SOTUHSG12A8AE474EA
414-88-4422,SORWSBE12A58A7CA8D
641-28-4481,SOYXBLH12A8AE45E74
288-39-9467,SOBKGSR12AB0184A57
564-78-7624,SOMUWHH12AB0188A46
133-18-9443,SOTFQLY12A8C13AD51
275-92-0854,SOGYLEI12AC4689F43
340-43-7486,SOZXZIL12AB0189931
919-45-3192,SOCVPCD12AB018E260
559-96-8735,SODPOTV12AB0187285
982-60-6154,SOFHNRX12AC3DF678C
706-54-8675,SOXLPKH12A8C13E7FC
201-89-9432,SOTCFPV12A8C13CE08
223-91-2385,SOHOXPI12A81C21566
999-17-7851,SOUHJKU12AB017DF67
613-35-1141,SOGOPDF12A8C1356A9
862-86-7440,SOJONVF12AB01866C3
482-05-3800,SOAQVPX12AB017F938
162-00-3805,SOIWOPZ12A8C135EBA
377-70-8424,SOXFPBO12A8C13BBBF
432-73-2675,SOJFJVJ12A8C139F83
210-87-3111,SOZKXKY12AB018039F
349-75-0710,SOUOQFE12A8C13C240
522-73-1740,SOQIBCH12A8C142CE5
858-63-2003,SOBYVWD12AB0185ACD
885-71-1655,SOFVXXK12A8C135404
486-29-8176,SOAWAPM12A6D4FB56A
956-30-7901,SOGMOAM12AB0189876
739-40-5198,SOEFIPZ12AB01836DE
976-72-7157,SOSLDZO12AB0186A26
681-42-3452,SOLSWGZ12AB0183E38
346-85-2407,SOXHJSF12A8151C96E
349-03-2121,SOFKRIR12AB017CFE4
967-79-9459,SOFNMLB12AB0183FF8
553-64-7080,SOZFJWK12AB01852DC
813-62-4034,SOXPMCW12AB017D2D6
125-60-1015,SOJRKRL12AB018C221
815-31-4123,SOOMSZH12AB0189A6F
916-08-6904,SODPMFZ12A8C135E5A
374-89-1843,SOOJGLP12A58A78410
602-84-1951,SOGOISU12AAF3B27B1
283-03-0355,SOOBOKE12A8C136227
498-10-1376,SOUOWOU12AC3DF4CB6
715-77-1534,SODIWEO12AB018479E
650-53-7009,SOFZBXX12AB0181731
862-35-6087,SOIXEBH12A6D4FD17E
236-50-4595,SOCLDAW12A8C144BEC
523-95-6034,SOFLBQJ12A8C1334BF
812-94-2094,SOAFHVT12A8C141A9F
733-12-2274,SORZHJO12A8C1338F3
763-69-4687,SOVKZIU12AB0180A2D
107-28-1776,SONJBUC12A6D4F92A2
446-33-7339,SOQGLWB12AF72A632B
573-51-1617,SOJXNPU12A8C13170B
925-27-5636,SORGLXE12A8C1355FF
735-73-8435,SOOQCSS12AB0182A99
473-35-0787,SOBYWCK12A58A7C5C0
840-71-3833,SOQDQTD12A8C145BE5
850-87-3078,SOAEAQO12AB0184ACE
505-78-7940,SOOPVJI12AB0183957
429-39-4446,SOBHMQL12A67ADE30A
596-03-4868,SOKUJAQ12A8AE46C1B
187-11-9250,SOQMRDA12AB018A86C
521-90-4913,SOMBYVD12AB01884BE
100-65-4152,SOWRMRV12A8C13E406
500-69-7490,SODSJMD12A58A79533
605-06-6039,SOFKBNW12A8C13E536
766-33-6266,SOJEUHQ12A6D4FC92D
149-20-0677,SOMWYRR12A8C143501
578-48-0979,SOQLNEY12B0B8062FA
638-45-6568,SOTRCOC12A6D4F868C
120-32-6599,SOGPNMB12A8C141375
147-10-6482,SOLQIRG12A8AE47400
932-13-3174,SOPHADT12A8C14245D
211-36-2549,SOEPOUR12A58A7839C
982-09-1524,SOOCPZM12A8C1379F0
